ek,c,s
634,470,
635,465,
636,466,
637,471,
638,,
639,472,298
640,473,299
641,s436,
642,,
643,477,
644,,
645,475,
646,,
647,,
648,478,
649,,
650,504,
651,,
652,,
653,,
654,,
655,,
656,479,
657,480,
658,,
659,,
660,481,
661,,
662,484,
663,483,
664,,
665,,
666,486,303
667,,
668,489,
669,,
670,498,
671,497,
672,499,
673,,
674,,
675,,
676,,
677,,
678,,
679,501,
680,,
681,,
682,,
683,500,
684,502,
685,,
686,491,
687,,
688,,
689,,
690,503,
691,,
692,,
693,506,
694,493,
695,,
696,,
697,495,
698,496,
699,,
700,,
701,508,
702,,
703,509,
704,,
705,513,
706,,
707,494,
708,520,
709,,
710,s918,
711,517,
712,,
713,,
714,,
715,515,
716,,
717,521,304
718,,
719,,
720,526,
721,514,
722,523,
723,,
724,524,
725,525,
726,522,
727,528,
728,,
729,,
730,527,
731,,
732,,
733,529,305
734,530,306
735,531,307
736,532,308
737,533,309
738,534,310
739,535,311
740,536,312
741,538,313
742,537,314
743,539,315
744,540,316
745,541,318
746,544,319
747,543,320
748,542,321
749,545,322
750,546,323
751,547,
752,,
753,,
754,s252,
755,549,
756,,
757,,
758,,
759,550,
760,,
761,,
762,552,
763,551,
764,553,326
765,,
766,,
767,554,
768,,
769,556,327
770,557,328
771,558,329
772,555,
773,,
774,,
775,559,330
776,561,
777,560,
778,562,
779,563,331
780,564,332
781,566,333
782,302,334
783,565,335
784,568,336
785,567,
786,569,337
787,572,
788,,
789,571,
790,,
791,573,
792,574,
793,575,
794,,
795,,
796,,
797,576,
798,,338
799,579,339
800,580,
801,581,340
802,582,341
803,,
804,s437,
805,,
806,583,342
807,328,
808,,
809,585,
810,584,
811,586,343
812,588,344
813,587,345
814,589,346
815,590,347
816,591,
817,s470,
818,593,
819,594,348
820,592,349
821,595,350
822,596,
823,597,
824,598,351
825,,
826,,
827,,
828,,
829,599,
830,,
831,600,353
832,601,354
833,,
834,602,
835,,
836,,
837,603,356
838,609,
839,604,357
840,606,358
841,381,359
842,605,
843,608,
844,607,
845,610,360
846,614,361
